gmina_name;date;potas
Przedbórz;01.01.2001;
Przysucha;01.01.2001;
Radoszyce;01.01.2001;
Radzanów;01.01.2001;
Ręczno;01.01.2001;
Rokiciny;01.01.2001;
Rozprza;01.01.2001;
Ruda Maleniecka;01.01.2001;
Rusinów;01.01.2001;
Rzeczyca;01.01.2001;
Sadkowice;01.01.2001;
Secemin;01.01.2001;
Sławno;01.01.2001;
Słupia;01.01.2001;
Słupia Konecka;01.01.2001;
Smyków;01.01.2001;
Stąporków;01.01.2001;
Stromiec;01.01.2001;
Sulejów;01.01.2001;
Szczekociny;01.01.2001;
Tomaszów Mazowiecki miasto;01.01.2001;
Tomaszów Mazowiecki wiejski;01.01.2001;
Tuszyn;01.01.2001;
Ujazd;01.01.2001;
Warka;01.01.2001;
Wielgomłyny;01.01.2001;
Włodowice;01.01.2001;
Włoszczowa;01.01.2001;
Wola Krzysztoporska;01.01.2001;
Wolbórz;01.01.2001;
Wolbrom;01.01.2001;
Wyśmierzyce;01.01.2001;
Zagnańsk;01.01.2001;
Zawiercie;01.01.2001;
Żarnowiec;01.01.2001;
Żarnów;01.01.2001;
Żytno;01.01.2001;
Aleksandrów;01.01.2002;
Andrespol;01.01.2002;
Belsk Duży;01.01.2002;
Będków;01.01.2002;
Białaczów;01.01.2002;
Białobrzegi;01.01.2002;
Bliżyn;01.01.2002;
Błędów;01.01.2002;
Brójce;01.01.2002;
Budziszewice;01.01.2002;
Charsznica;01.01.2002;
Czarnocin;01.01.2002;
Czerniewice;01.01.2002;
Drzewica;01.01.2002;
Fałków;01.01.2002;
Gielniów;01.01.2002;
Głowaczów;01.01.2002;
Gorzkowice;01.01.2002;
Goszczyn;01.01.2002;
Gowarczów;01.01.2002;
Grabica;01.01.2002;
Grabów nad Pilicą;01.01.2002;
Inowłódz;01.01.2002;
Irządze;01.01.2002;
Kluczewsko;01.01.2002;
Klwów;01.01.2002;
Kobiele Wielkie;01.01.2002;
Kodrąb;01.01.2002;
Koluszki;01.01.2002;
Koniecpol;01.01.2002;
Końskie;01.01.2002;
Kozłów;01.01.2002;
Krasocin;01.01.2002;
Kroczyce;01.01.2002;
Lelów;01.01.2002;
Lubochnia;01.01.2002;
Łęki Szlacheckie;01.01.2002;
Łopuszno;01.01.2002;
Magnuszew;01.01.2002;
Masłowice;01.01.2002;
Mniów;01.01.2002;
Mniszków;01.01.2002;
Mogielnica;01.01.2002;
Moskorzew;01.01.2002;
Moszczenica;01.01.2002;
Niegowa;01.01.2002;
Nowe Miasto nad Pilicą;01.01.2002;
Nowosolna;01.01.2002;
Odrzywół;01.01.2002;
Ogrodzieniec;01.01.2002;
Opoczno;01.01.2002;
Paradyż;01.01.2002;
Pilica;01.01.2002;
Piotrków Trybunalski;01.01.2002;
Poświętne;01.01.2002;
Promna;01.01.2002;
Przedbórz;01.01.2002;
Przysucha;01.01.2002;
Radoszyce;01.01.2002;
Radzanów;01.01.2002;
Ręczno;01.01.2002;
Rokiciny;01.01.2002;
Rozprza;01.01.2002;
Ruda Maleniecka;01.01.2002;
Rusinów;01.01.2002;
Rzeczyca;01.01.2002;
Sadkowice;01.01.2002;
Secemin;01.01.2002;
Sławno;01.01.2002;
Słupia;01.01.2002;
Słupia Konecka;01.01.2002;
Smyków;01.01.2002;
Stąporków;01.01.2002;
Stromiec;01.01.2002;
Sulejów;01.01.2002;
Szczekociny;01.01.2002;
Tomaszów Mazowiecki miasto;01.01.2002;
Tomaszów Mazowiecki wiejski;01.01.2002;
Tuszyn;01.01.2002;
Ujazd;01.01.2002;
Warka;01.01.2002;
Wielgomłyny;01.01.2002;
Włodowice;01.01.2002;
Włoszczowa;01.01.2002;
Wola Krzysztoporska;01.01.2002;
Wolbórz;01.01.2002;
Wolbrom;01.01.2002;
Wyśmierzyce;01.01.2002;
Zagnańsk;01.01.2002;
Zawiercie;01.01.2002;
Żarnowiec;01.01.2002;
Żarnów;01.01.2002;
Żytno;01.01.2002;
Aleksandrów;01.01.2003;
Andrespol;01.01.2003;
Belsk Duży;01.01.2003;
Będków;01.01.2003;
Białaczów;01.01.2003;
Białobrzegi;01.01.2003;
Bliżyn;01.01.2003;
Błędów;01.01.2003;
Brójce;01.01.2003;
Budziszewice;01.01.2003;
Charsznica;01.01.2003;
Czarnocin;01.01.2003;
Czerniewice;01.01.2003;
Drzewica;01.01.2003;
Fałków;01.01.2003;
Gielniów;01.01.2003;
Głowaczów;01.01.2003;
Gorzkowice;01.01.2003;
Goszczyn;01.01.2003;
Gowarczów;01.01.2003;
Grabica;01.01.2003;
Grabów nad Pilicą;01.01.2003;
Inowłódz;01.01.2003;
Irządze;01.01.2003;
Kluczewsko;01.01.2003;
Klwów;01.01.2003;
Kobiele Wielkie;01.01.2003;
Kodrąb;01.01.2003;
Koluszki;01.01.2003;
Koniecpol;01.01.2003;
Końskie;01.01.2003;
Kozłów;01.01.2003;
Krasocin;01.01.2003;
Kroczyce;01.01.2003;
Lelów;01.01.2003;
Lubochnia;01.01.2003;
Łęki Szlacheckie;01.01.2003;
Łopuszno;01.01.2003;
Magnuszew;01.01.2003;
Masłowice;01.01.2003;
Mniów;01.01.2003;
Mniszków;01.01.2003;
Mogielnica;01.01.2003;
Moskorzew;01.01.2003;
Moszczenica;01.01.2003;
Niegowa;01.01.2003;
Nowe Miasto nad Pilicą;01.01.2003;
Nowosolna;01.01.2003;
Odrzywół;01.01.2003;
Ogrodzieniec;01.01.2003;
Opoczno;01.01.2003;
Paradyż;01.01.2003;
Pilica;01.01.2003;
Piotrków Trybunalski;01.01.2003;
Poświętne;01.01.2003;
Promna;01.01.2003;
Przedbórz;01.01.2003;
Przysucha;01.01.2003;
Radoszyce;01.01.2003;
Radzanów;01.01.2003;
Ręczno;01.01.2003;
Rokiciny;01.01.2003;
Rozprza;01.01.2003;
Ruda Maleniecka;01.01.2003;
Rusinów;01.01.2003;
Rzeczyca;01.01.2003;
Sadkowice;01.01.2003;
Secemin;01.01.2003;
Sławno;01.01.2003;
Słupia;01.01.2003;
Słupia Konecka;01.01.2003;
Smyków;01.01.2003;
Stąporków;01.01.2003;
Stromiec;01.01.2003;
Sulejów;01.01.2003;
Szczekociny;01.01.2003;
Tomaszów Mazowiecki miasto;01.01.2003;
Tomaszów Mazowiecki wiejski;01.01.2003;
Tuszyn;01.01.2003;
Ujazd;01.01.2003;
Warka;01.01.2003;
Wielgomłyny;01.01.2003;
Włodowice;01.01.2003;
Włoszczowa;01.01.2003;
Wola Krzysztoporska;01.01.2003;
Wolbórz;01.01.2003;
Wolbrom;01.01.2003;
Wyśmierzyce;01.01.2003;
Zagnańsk;01.01.2003;
Zawiercie;01.01.2003;
Żarnowiec;01.01.2003;
Żarnów;01.01.2003;
Żytno;01.01.2003;
Aleksandrów;01.01.2004;
Andrespol;01.01.2004;
Belsk Duży;01.01.2004;
Będków;01.01.2004;
Białaczów;01.01.2004;
Białobrzegi;01.01.2004;
Bliżyn;01.01.2004;
Błędów;01.01.2004;
Brójce;01.01.2004;
Budziszewice;01.01.2004;
Charsznica;01.01.2004;
Czarnocin;01.01.2004;
Czerniewice;01.01.2004;
Drzewica;01.01.2004;
Fałków;01.01.2004;
Gielniów;01.01.2004;
Głowaczów;01.01.2004;
Gorzkowice;01.01.2004;
Goszczyn;01.01.2004;
Gowarczów;01.01.2004;
Grabica;01.01.2004;
Grabów nad Pilicą;01.01.2004;
Inowłódz;01.01.2004;
Irządze;01.01.2004;
Kluczewsko;01.01.2004;
Klwów;01.01.2004;
Kobiele Wielkie;01.01.2004;
Kodrąb;01.01.2004;
Koluszki;01.01.2004;
Koniecpol;01.01.2004;
Końskie;01.01.2004;
Kozłów;01.01.2004;
Krasocin;01.01.2004;
Kroczyce;01.01.2004;
Lelów;01.01.2004;
Lubochnia;01.01.2004;
Łęki Szlacheckie;01.01.2004;
Łopuszno;01.01.2004;
Magnuszew;01.01.2004;
Masłowice;01.01.2004;
Mniów;01.01.2004;
Mniszków;01.01.2004;
Mogielnica;01.01.2004;
Moskorzew;01.01.2004;
Moszczenica;01.01.2004;
Niegowa;01.01.2004;
Nowe Miasto nad Pilicą;01.01.2004;
Nowosolna;01.01.2004;
Odrzywół;01.01.2004;
Ogrodzieniec;01.01.2004;
Opoczno;01.01.2004;
Paradyż;01.01.2004;
Pilica;01.01.2004;
Piotrków Trybunalski;01.01.2004;
Poświętne;01.01.2004;
Promna;01.01.2004;
Przedbórz;01.01.2004;
Przysucha;01.01.2004;
Radoszyce;01.01.2004;
Radzanów;01.01.2004;
Ręczno;01.01.2004;
Rokiciny;01.01.2004;
Rozprza;01.01.2004;
Ruda Maleniecka;01.01.2004;
Rusinów;01.01.2004;
Rzeczyca;01.01.2004;
Sadkowice;01.01.2004;
Secemin;01.01.2004;
Sławno;01.01.2004;
Słupia;01.01.2004;
Słupia Konecka;01.01.2004;
Smyków;01.01.2004;
Stąporków;01.01.2004;
Stromiec;01.01.2004;
Sulejów;01.01.2004;
Szczekociny;01.01.2004;
Tomaszów Mazowiecki miasto;01.01.2004;
