gmina_name;date;firmy_all
Sławno;1999-01-01;
Słupia;1999-01-01;
Słupia Konecka;1999-01-01;
Smyków;1999-01-01;
Stąporków;1999-01-01;
Stromiec;1999-01-01;
Sulejów;1999-01-01;
Szczekociny;1999-01-01;
Tomaszów Mazowiecki miasto;1999-01-01;
Tomaszów Mazowiecki wiejski;1999-01-01;
Tuszyn;1999-01-01;
Ujazd;1999-01-01;
Warka;1999-01-01;
Wielgomłyny;1999-01-01;
Włodowice;1999-01-01;
Włoszczowa;1999-01-01;
Wola Krzysztoporska;1999-01-01;
Wolbórz;1999-01-01;
Wolbrom;1999-01-01;
Wyśmierzyce;1999-01-01;
Zagnańsk;1999-01-01;
Zawiercie;1999-01-01;
Żarnowiec;1999-01-01;
Żarnów;1999-01-01;
Żytno;1999-01-01;
Aleksandrów;2000-01-01;
Andrespol;2000-01-01;
Belsk Duży;2000-01-01;
Będków;2000-01-01;
Białaczów;2000-01-01;
Białobrzegi;2000-01-01;
Bliżyn;2000-01-01;
Błędów;2000-01-01;
Brójce;2000-01-01;
Budziszewice;2000-01-01;
Charsznica;2000-01-01;
Czarnocin;2000-01-01;
Czerniewice;2000-01-01;
Drzewica;2000-01-01;
Fałków;2000-01-01;
Gielniów;2000-01-01;
Głowaczów;2000-01-01;
Gorzkowice;2000-01-01;
Goszczyn;2000-01-01;
Gowarczów;2000-01-01;
Grabica;2000-01-01;
Grabów nad Pilicą;2000-01-01;
Inowłódz;2000-01-01;
Irządze;2000-01-01;
Kluczewsko;2000-01-01;
Klwów;2000-01-01;
Kobiele Wielkie;2000-01-01;
Kodrąb;2000-01-01;
Koluszki;2000-01-01;
Koniecpol;2000-01-01;
Końskie;2000-01-01;
Kozłów;2000-01-01;
Krasocin;2000-01-01;
Kroczyce;2000-01-01;
Lelów;2000-01-01;
Lubochnia;2000-01-01;
Łęki Szlacheckie;2000-01-01;
Łopuszno;2000-01-01;
Magnuszew;2000-01-01;
Masłowice;2000-01-01;
Mniów;2000-01-01;
Mniszków;2000-01-01;
Mogielnica;2000-01-01;
Moskorzew;2000-01-01;
Moszczenica;2000-01-01;
Niegowa;2000-01-01;
Nowe Miasto nad Pilicą;2000-01-01;
Nowosolna;2000-01-01;
Odrzywół;2000-01-01;
Ogrodzieniec;2000-01-01;
Opoczno;2000-01-01;
Paradyż;2000-01-01;
Pilica;2000-01-01;
Piotrków Trybunalski;2000-01-01;
Poświętne;2000-01-01;
Promna;2000-01-01;
Przedbórz;2000-01-01;
Przysucha;2000-01-01;
Radoszyce;2000-01-01;
Radzanów;2000-01-01;
Ręczno;2000-01-01;
Rokiciny;2000-01-01;
Rozprza;2000-01-01;
Ruda Maleniecka;2000-01-01;
Rusinów;2000-01-01;
Rzeczyca;2000-01-01;
Sadkowice;2000-01-01;
Secemin;2000-01-01;
Sławno;2000-01-01;
Słupia;2000-01-01;
Słupia Konecka;2000-01-01;
Smyków;2000-01-01;
Stąporków;2000-01-01;
Stromiec;2000-01-01;
Sulejów;2000-01-01;
Szczekociny;2000-01-01;
Tomaszów Mazowiecki miasto;2000-01-01;
Tomaszów Mazowiecki wiejski;2000-01-01;
Tuszyn;2000-01-01;
Ujazd;2000-01-01;
Warka;2000-01-01;
Wielgomłyny;2000-01-01;
Włodowice;2000-01-01;
Włoszczowa;2000-01-01;
Wola Krzysztoporska;2000-01-01;
Wolbórz;2000-01-01;
Wolbrom;2000-01-01;
Wyśmierzyce;2000-01-01;
Zagnańsk;2000-01-01;
Zawiercie;2000-01-01;
Żarnowiec;2000-01-01;
Żarnów;2000-01-01;
Żytno;2000-01-01;
Aleksandrów;2001-01-01;
Andrespol;2001-01-01;
Belsk Duży;2001-01-01;
Będków;2001-01-01;
Białaczów;2001-01-01;
Białobrzegi;2001-01-01;
Bliżyn;2001-01-01;
Błędów;2001-01-01;
Brójce;2001-01-01;
Budziszewice;2001-01-01;
Charsznica;2001-01-01;
Czarnocin;2001-01-01;
Czerniewice;2001-01-01;
Drzewica;2001-01-01;
Fałków;2001-01-01;
Gielniów;2001-01-01;
Głowaczów;2001-01-01;
Gorzkowice;2001-01-01;
Goszczyn;2001-01-01;
Gowarczów;2001-01-01;
Grabica;2001-01-01;
Grabów nad Pilicą;2001-01-01;
Inowłódz;2001-01-01;
Irządze;2001-01-01;
Kluczewsko;2001-01-01;
Klwów;2001-01-01;
Kobiele Wielkie;2001-01-01;
Kodrąb;2001-01-01;
Koluszki;2001-01-01;
Koniecpol;2001-01-01;
